iter	RMSE
0	37.75345885
1	36.88737866
2	36.11992918
3	35.33134864
4	34.63074888
5	34.00117614
6	33.42873677
7	32.78226812
8	32.30921811
9	31.83643872
10	31.36900008
11	30.8838725
12	30.50046708
13	30.13355885
14	29.80890285
15	29.5075873
16	29.22827767
17	28.95188981
18	28.62732924
19	28.41176566
20	28.12608014
21	27.87478604
22	27.62419919
23	27.42053226
24	27.21887314
25	27.03697554
26	26.82612061
27	26.72282065
28	26.52881469
29	26.38113885
30	26.23026621
31	26.06593209
32	25.94274949
33	25.79166526
34	25.65753699
35	25.51144967
36	25.38620887
37	25.28361855
38	25.18505117
39	25.10829801
40	25.01408675
41	24.90182139
42	24.8175155
43	24.73342878
44	24.68325417
45	24.56825523
46	24.50333865
47	24.43888334
48	24.3693134
49	24.33190813
50	24.27770614
51	24.26799989
52	24.18343716
53	24.1663334
54	24.10543977
55	24.02172866
56	23.97724216
57	23.91550393
58	23.88923366
59	23.87283388
60	23.84591955
61	23.78768579
62	23.73032408
63	23.71811969
64	23.69591841
65	23.67773517
66	23.63044849
67	23.57165485
68	23.53850718
69	23.5116066
70	23.50550212
71	23.45444253
72	23.37241941
73	23.29267013
74	23.20681817
75	23.13782603
76	23.12095133
77	23.09061807
78	23.05387885
79	23.01421844
80	23.0075007
81	22.95831449
82	22.91373015
83	22.90108265
84	22.86660724
85	22.848053
86	22.8172177
87	22.8019091
88	22.79057158
89	22.76370718
90	22.70622237
91	22.68672398
92	22.62803542
93	22.57406115
94	22.53782934
95	22.53006294
96	22.50286798
97	22.4944304
98	22.43080725
99	22.40178233
100	22.36306832
101	22.32622467
102	22.29626127
103	22.29193064
104	22.25743477
105	22.23108637
106	22.21357639
107	22.19164601
108	22.17139857
109	22.12076473
110	22.10023225
111	22.04506455
112	22.0293596
113	22.02036298
114	22.00576804
115	21.98951979
116	21.97233233
117	21.93829793
118	21.89448695
119	21.89096257
120	21.86405178
121	21.85253833
122	21.84932271
123	21.79278543
124	21.74777188
125	21.74422521
126	21.72084513
127	21.70340208
128	21.68080732
129	21.65334939
130	21.63012324
131	21.5922856
132	21.55116234
133	21.54097629
134	21.51626015
135	21.4790068
136	21.43273594
137	21.39298919
138	21.36472486
139	21.35506687
140	21.32524546
141	21.29143736
142	21.28340774
143	21.25915039
144	21.23185412
145	21.22068006
146	21.1934563
147	21.15264701
148	21.14040133
149	21.09921707
150	21.06722396
151	21.04578079
152	21.03876079
153	21.02393391
154	21.0148946
155	20.96597316
156	20.95746606
157	20.95274187
158	20.90894308
159	20.87090248
160	20.84581056
161	20.82253099
162	20.7983965
163	20.79392304
164	20.79104247
165	20.75796595
166	20.75405059
167	20.71887511
168	20.69564253
169	20.65894961
170	20.65591949
171	20.64650001
172	20.62021116
173	20.59100475
174	20.57225086
175	20.55304797
176	20.54973278
177	20.53964117
178	20.53255999
179	20.5092031
180	20.50584561
181	20.47417004
182	20.46464363
183	20.42043815
184	20.41863105
185	20.4153578
186	20.40840848
187	20.40570714
188	20.402756
189	20.36170971
190	20.34712407
191	20.34617882
192	20.33329509
193	20.31000932
194	20.30606826
195	20.27668094
196	20.27214864
197	20.25313693
198	20.2388886
199	20.23279304
200	20.20086101
201	20.19806355
202	20.18985884
203	20.1593438
204	20.12872215
205	20.1185145
206	20.11627264
207	20.09010339
208	20.07015694
209	20.05590125
210	20.04716805
211	20.03640592
212	20.02019171
213	20.01807782
214	20.01600445
215	19.97555802
216	19.96643971
217	19.95600328
218	19.93392797
219	19.90550394
220	19.88227988
221	19.8687942
222	19.85477087
223	19.82270508
224	19.79488563
225	19.7747248
226	19.77194527
227	19.75113243
228	19.72361614
229	19.71224354
230	19.68937226
231	19.66587642
232	19.66314626
233	19.64985488
234	19.63724859
235	19.61258132
236	19.59766515
237	19.58469281
238	19.58054049
239	19.57707649
240	19.56589916
241	19.53357852
242	19.51076604
243	19.48054033
244	19.46322819
245	19.44164253
246	19.4203015
247	19.41045344
248	19.3915462
249	19.37069685
250	19.34896438
251	19.33714148
252	19.30664429
253	19.30554485
254	19.28083574
255	19.26235033
256	19.23831712
257	19.22897327
258	19.22736832
259	19.21669666
260	19.20797991
261	19.18936014
262	19.16835329
263	19.14927065
264	19.12352828
265	19.09615232
266	19.06921967
267	19.0651689
268	19.04428518
269	19.03725363
270	19.01488003
271	18.98528494
272	18.98136162
273	18.96025625
274	18.95661339
275	18.95238072
276	18.94399231
277	18.92290645
278	18.90721885
279	18.88404396
280	18.87009151
281	18.85031203
282	18.83915677
283	18.83650613
284	18.82357564
285	18.80360471
286	18.78726297
287	18.7846366
288	18.76831696
289	18.75210752
290	18.74397547
291	18.72908491
292	18.72252698
293	18.71849188
294	18.69492994
295	18.68303616
296	18.6637379
297	18.64266544
298	18.63655809
299	18.61956087
300	18.59844409
301	18.5883148
302	18.58083475
303	18.57367358
304	18.56115874
305	18.55782187
306	18.55069196
307	18.52844928
