iter	Passed	Remaining
0	167	167303
1	196	98237
2	220	73218
3	228	56814
4	234	46589
5	239	39690
6	244	34716
7	249	30983
8	255	28086
9	260	25760
10	265	23842
11	269	22224
12	275	20885
13	280	19725
14	284	18707
15	289	17830
16	294	17054
17	299	16353
18	305	15756
19	310	15231
20	316	14735
21	321	14285
22	326	13860
23	331	13466
24	336	13110
25	341	12781
26	346	12473
27	351	12186
28	355	11918
29	360	11659
30	366	11441
31	371	11229
32	376	11032
33	381	10852
34	388	10700
35	393	10543
36	398	10378
37	403	10221
38	408	10076
39	414	9937
40	419	9806
41	424	9680
42	429	9555
43	434	9441
44	439	9327
45	444	9214
46	449	9111
47	454	9009
48	459	8912
49	464	8820
50	469	8732
51	474	8645
52	478	8558
53	483	8475
54	488	8398
55	493	8323
56	498	8247
57	503	8176
58	508	8108
59	513	8042
60	518	7974
61	523	7913
62	528	7853
63	532	7793
64	537	7736
65	542	7682
66	547	7627
67	552	7575
68	557	7527
69	562	7476
70	567	7430
71	573	7386
72	577	7338
73	580	7268
74	585	7220
75	590	7179
76	596	7145
77	601	7106
78	605	7064
79	610	7022
80	615	6988
81	621	6957
82	626	6921
83	631	6885
84	636	6849
85	641	6813
86	645	6778
87	650	6745
88	655	6713
89	660	6679
90	665	6647
91	670	6616
92	675	6587
93	680	6556
94	685	6528
95	690	6498
96	694	6469
97	700	6442
98	704	6414
99	709	6387
100	714	6360
101	720	6341
102	725	6321
103	731	6299
104	736	6276
105	741	6251
106	746	6225
107	750	6200
108	755	6176
109	760	6151
110	764	6126
111	769	6102
112	774	6079
113	779	6055
114	782	6025
115	787	6002
116	792	5981
117	797	5960
118	802	5939
119	807	5920
120	812	5904
121	817	5884
122	822	5866
123	827	5848
124	832	5829
125	837	5810
126	843	5797
127	848	5778
128	853	5763
129	858	5744
130	863	5726
131	867	5707
132	872	5690
133	877	5673
134	883	5659
135	888	5645
136	893	5628
137	898	5613
138	903	5596
139	908	5578
140	913	5562
141	917	5545
142	922	5530
143	927	5514
144	932	5499
145	937	5484
146	942	5468
147	947	5453
148	952	5438
149	956	5422
150	963	5414
151	968	5402
152	973	5390
153	979	5381
154	985	5373
155	991	5363
156	997	5354
157	1002	5343
158	1009	5342
159	1024	5377
160	1029	5365
161	1035	5358
162	1041	5348
163	1047	5340
164	1053	5333
165	1059	5325
166	1066	5318
167	1072	5310
168	1077	5299
169	1084	5293
170	1089	5283
171	1095	5275
172	1101	5265
173	1107	5255
174	1112	5246
175	1118	5237
176	1123	5226
177	1128	5213
178	1133	5200
179	1138	5186
180	1143	5173
181	1148	5160
182	1153	5148
183	1157	5134
184	1162	5121
185	1167	5107
186	1172	5098
187	1177	5087
188	1182	5075
189	1187	5062
190	1192	5051
191	1197	5038
192	1202	5027
193	1207	5015
194	1212	5004
195	1217	4994
196	1223	4986
197	1228	4977
198	1234	4969
199	1239	4957
200	1244	4945
201	1249	4934
202	1253	4922
203	1258	4911
204	1263	4901
205	1268	4889
206	1273	4880
207	1278	4869
208	1283	4858
209	1288	4848
210	1294	4840
211	1300	4834
212	1305	4823
213	1309	4809
214	1313	4797
215	1319	4787
216	1323	4776
217	1328	4766
218	1333	4755
219	1338	4746
220	1343	4734
221	1348	4724
222	1353	4714
223	1358	4705
224	1363	4696
225	1368	4686
226	1373	4676
227	1378	4666
228	1382	4656
229	1387	4645
230	1392	4635
231	1397	4626
232	1402	4616
233	1406	4604
234	1411	4593
235	1417	4587
236	1423	4583
237	1430	4578
238	1436	4574
239	1443	4569
240	1449	4565
241	1455	4558
242	1461	4552
243	1467	4546
244	1473	4540
245	1479	4535
246	1486	4530
247	1493	4527
248	1498	4520
249	1504	4513
250	1510	4507
251	1516	4501
252	1523	4498
253	1530	4493
254	1536	4488
255	1542	4481
256	1548	4477
257	1554	4470
258	1560	4465
259	1567	4460
260	1572	4453
261	1579	4448
262	1585	4441
263	1591	4437
264	1597	4430
265	1603	4424
266	1609	4418
267	1616	4415
268	1622	4409
269	1629	4404
270	1635	4398
271	1642	4394
272	1647	4388
273	1652	4379
274	1659	4375
275	1665	4369
276	1671	4364
277	1677	4357
278	1683	4351
279	1690	4346
280	1696	4340
281	1701	4332
282	1708	4327
283	1714	4321
284	1719	4314
285	1726	4309
286	1732	4303
287	1738	4298
288	1744	4292
289	1750	4286
290	1757	4281
291	1764	4277
292	1770	4272
293	1776	4266
294	1782	4259
295	1789	4254
296	1794	4248
297	1801	4244
298	1808	4239
299	1815	4235
300	1821	4230
301	1827	4224
302	1834	4220
303	1840	4214
304	1846	4208
305	1853	4202
306	1859	4198
307	1866	4192
308	1871	4185
309	1877	4179
310	1883	4172
311	1889	4165
312	1894	4158
313	1900	4153
314	1907	4147
315	1912	4140
316	1918	4133
317	1925	4128
318	1931	4123
319	1937	4117
320	1943	4112
321	1950	4107
322	1956	4101
323	1962	4095
324	1969	4090
325	1976	4085
326	1983	4081
327	1989	4076
328	1995	4069
329	2001	4064
330	2007	4057
331	2013	4051
332	2019	4045
333	2025	4038
334	2031	4031
335	2038	4027
336	2044	4023
337	2051	4017
338	2057	4011
339	2064	4006
340	2069	4000
341	2075	3993
342	2081	3987
343	2088	3981
344	2093	3975
345	2100	3970
346	2105	3963
347	2112	3957
348	2118	3951
349	2124	3945
350	2130	3939
351	2137	3935
352	2143	3928
353	2149	3921
354	2155	3915
355	2161	3910
356	2167	3904
357	2173	3897
358	2180	3894
359	2187	3889
360	2193	3882
361	2198	3875
362	2205	3869
363	2211	3863
364	2217	3857
365	2223	3851
366	2229	3845
367	2234	3837
368	2239	3829
369	2245	3822
370	2250	3814
371	2254	3806
372	2259	3798
373	2264	3790
374	2268	3781
375	2273	3773
376	2278	3765
377	2283	3757
378	2289	3751
379	2294	3743
380	2298	3734
381	2303	3726
382	2308	3718
383	2312	3710
384	2317	3702
385	2322	3694
386	2327	3686
387	2331	3677
388	2336	3669
389	2341	3661
390	2346	3654
391	2350	3646
392	2355	3637
393	2360	3629
394	2364	3622
395	2369	3614
396	2374	3606
397	2379	3598
398	2383	3590
399	2388	3582
400	2392	3574
401	2397	3566
402	2401	3558
403	2406	3550
404	2411	3542
405	2415	3534
406	2420	3526
407	2425	3518
408	2429	3511
409	2434	3503
410	2439	3496
411	2444	3488
412	2448	3480
413	2454	3473
414	2459	3467
415	2464	3459
416	2469	3452
417	2474	3445
418	2479	3437
419	2483	3430
420	2488	3422
421	2493	3415
422	2498	3407
423	2502	3400
424	2507	3392
425	2512	3384
426	2516	3377
427	2521	3369
428	2526	3362
429	2530	3354
430	2535	3347
431	2540	3339
432	2544	3332
433	2549	3325
434	2554	3317
435	2559	3310
436	2564	3303
437	2569	3296
438	2573	3289
439	2578	3281
440	2582	3274
441	2587	3266
442	2591	3258
443	2596	3251
444	2601	3244
445	2606	3237
446	2610	3229
447	2615	3222
448	2620	3215
449	2624	3208
450	2629	3200
451	2634	3193
452	2639	3187
453	2643	3179
454	2648	3172
455	2653	3165
456	2658	3158
457	2662	3151
458	2667	3144
459	2673	3138
460	2678	3131
461	2682	3124
462	2687	3116
463	2692	3110
464	2697	3103
465	2701	3096
466	2706	3089
467	2711	3082
468	2716	3075
469	2720	3068
470	2725	3061
471	2730	3054
472	2734	3047
473	2739	3039
474	2744	3033
475	2749	3026
476	2753	3019
477	2758	3012
478	2763	3005
479	2768	2998
480	2772	2991
481	2777	2985
482	2782	2978
483	2787	2971
484	2792	2964
485	2797	2958
486	2803	2953
487	2808	2946
488	2812	2939
489	2817	2932
490	2822	2925
491	2827	2918
492	2831	2912
493	2836	2905
494	2841	2898
495	2845	2891
496	2850	2885
497	2855	2878
498	2859	2871
499	2864	2864
500	2869	2857
501	2873	2851
502	2879	2845
503	2884	2839
504	2889	2832
505	2895	2826
506	2900	2820
507	2905	2813
508	2909	2806
509	2914	2800
510	2919	2793
511	2923	2786
512	2928	2780
513	2933	2773
514	2938	2766
515	2942	2760
516	2947	2753
517	2953	2748
518	2958	2741
519	2964	2736
520	2970	2730
521	2975	2724
522	2980	2717
523	2985	2711
524	2990	2705
525	2994	2698
526	2999	2692
527	3004	2685
528	3009	2679
529	3013	2672
530	3018	2665
531	3023	2659
532	3027	2652
533	3032	2646
534	3036	2639
535	3041	2633
536	3046	2626
537	3050	2619
538	3055	2613
539	3061	2607
540	3065	2601
541	3070	2594
542	3075	2588
